Year,flow
01/01/1963,
02/01/1963,
03/01/1963,
04/01/1963,
05/01/1963,
06/01/1963,
07/01/1963,
08/01/1963,
09/01/1963,
10/01/1963,
11/01/1963,
12/01/1963,
13/01/1963,
14/01/1963,
15/01/1963,
16/01/1963,
17/01/1963,
18/01/1963,
19/01/1963,
20/01/1963,
21/01/1963,
22/01/1963,
23/01/1963,
24/01/1963,
25/01/1963,
26/01/1963,
27/01/1963,
28/01/1963,
29/01/1963,
30/01/1963,
31/01/1963,
01/02/1963,
02/02/1963,
03/02/1963,
04/02/1963,
05/02/1963,
06/02/1963,
07/02/1963,
08/02/1963,
09/02/1963,
10/02/1963,
11/02/1963,
12/02/1963,
13/02/1963,
14/02/1963,
15/02/1963,
16/02/1963,
17/02/1963,
18/02/1963,
19/02/1963,
20/02/1963,
21/02/1963,
22/02/1963,
23/02/1963,
24/02/1963,
25/02/1963,
26/02/1963,
27/02/1963,
28/02/1963,
01/03/1963,
02/03/1963,
03/03/1963,
04/03/1963,
05/03/1963,
06/03/1963,
07/03/1963,
08/03/1963,
09/03/1963,
10/03/1963,
11/03/1963,
12/03/1963,
13/03/1963,
14/03/1963,
15/03/1963,
16/03/1963,
17/03/1963,
18/03/1963,
19/03/1963,
20/03/1963,
21/03/1963,
22/03/1963,
23/03/1963,
24/03/1963,
25/03/1963,
26/03/1963,
27/03/1963,
28/03/1963,
29/03/1963,
30/03/1963,
31/03/1963,
01/04/1963,
02/04/1963,
03/04/1963,
04/04/1963,
05/04/1963,
06/04/1963,
07/04/1963,
08/04/1963,
09/04/1963,
10/04/1963,
11/04/1963,
12/04/1963,
13/04/1963,
14/04/1963,
15/04/1963,
16/04/1963,
17/04/1963,
18/04/1963,
19/04/1963,
20/04/1963,
21/04/1963,
22/04/1963,
23/04/1963,
24/04/1963,
25/04/1963,
26/04/1963,
27/04/1963,
28/04/1963,
29/04/1963,
30/04/1963,
01/05/1963,
02/05/1963,
03/05/1963,
04/05/1963,
05/05/1963,
06/05/1963,
07/05/1963,
08/05/1963,
09/05/1963,
10/05/1963,
11/05/1963,
12/05/1963,
13/05/1963,
14/05/1963,
15/05/1963,
16/05/1963,
17/05/1963,
18/05/1963,
19/05/1963,
20/05/1963,
21/05/1963,
22/05/1963,
23/05/1963,
24/05/1963,
25/05/1963,
26/05/1963,
27/05/1963,
28/05/1963,
29/05/1963,
30/05/1963,
31/05/1963,
01/06/1963,
02/06/1963,
03/06/1963,
04/06/1963,
05/06/1963,
06/06/1963,
07/06/1963,
08/06/1963,
09/06/1963,
10/06/1963,
11/06/1963,
12/06/1963,
13/06/1963,
14/06/1963,
15/06/1963,
16/06/1963,
17/06/1963,
18/06/1963,
19/06/1963,
20/06/1963,
21/06/1963,
22/06/1963,
23/06/1963,
24/06/1963,
25/06/1963,
26/06/1963,
27/06/1963,
28/06/1963,
29/06/1963,
30/06/1963,
01/07/1963,54.3
02/07/1963,43.2
03/07/1963,56.4
04/07/1963,43.6
05/07/1963,51.6
06/07/1963,74.9
07/07/1963,79.1
08/07/1963,80.6
09/07/1963,79.5
10/07/1963,75.4
11/07/1963,76.4
12/07/1963,77.3
13/07/1963,76.2
14/07/1963,76.4
15/07/1963,58.9
16/07/1963,70.3
17/07/1963,40.7
18/07/1963,47.6
19/07/1963,48
20/07/1963,48
21/07/1963,47.9
22/07/1963,47.5
23/07/1963,47.5
24/07/1963,76.9
25/07/1963,78.8
26/07/1963,77.7
27/07/1963,77.6
28/07/1963,49.6
29/07/1963,50.2
30/07/1963,78.3
31/07/1963,77.7
01/08/1963,47.4
02/08/1963,48.7
03/08/1963,49.8
04/08/1963,49.1
05/08/1963,77.3
06/08/1963,66.1
07/08/1963,60.2
08/08/1963,59.6
09/08/1963,65.9
10/08/1963,60.2
11/08/1963,62.2
12/08/1963,56.8
13/08/1963,51.4
14/08/1963,51.9
15/08/1963,58.6
16/08/1963,83.7
17/08/1963,265.5
18/08/1963,311.1
19/08/1963,79.7
20/08/1963,71.9
21/08/1963,71.4
22/08/1963,72.2
23/08/1963,67.2
24/08/1963,61.2
25/08/1963,67.4
26/08/1963,62
27/08/1963,67.4
28/08/1963,82.2
29/08/1963,67.9
30/08/1963,74.3
31/08/1963,85.2
01/09/1963,89.2
02/09/1963,55.8
03/09/1963,78.7
04/09/1963,70.6
05/09/1963,62.9
06/09/1963,87.8
07/09/1963,86.7
08/09/1963,87.9
09/09/1963,59.9
10/09/1963,105
11/09/1963,72
12/09/1963,65.1
13/09/1963,66
14/09/1963,78
15/09/1963,143.8
16/09/1963,172.3
17/09/1963,170.7
18/09/1963,61.9
19/09/1963,117.8
20/09/1963,118
21/09/1963,66
22/09/1963,226.5
23/09/1963,387.4
24/09/1963,118.7
25/09/1963,171.4
26/09/1963,118.6
27/09/1963,119.3
28/09/1963,119
29/09/1963,119.4
30/09/1963,104.6
01/10/1963,65.6
02/10/1963,118.5
03/10/1963,120.4
04/10/1963,109.7
05/10/1963,78.1
06/10/1963,121
07/10/1963,111.4
08/10/1963,108.1
09/10/1963,112.1
10/10/1963,105.1
11/10/1963,110.8
12/10/1963,118.7
13/10/1963,292.9
14/10/1963,119.8
15/10/1963,173
16/10/1963,123.1
17/10/1963,106.3
18/10/1963,93.6
19/10/1963,84.9
20/10/1963,84.3
21/10/1963,84.1
22/10/1963,89.5
23/10/1963,96.7
24/10/1963,95.7
25/10/1963,103.9
26/10/1963,103
27/10/1963,101.6
28/10/1963,102.6
29/10/1963,104.2
30/10/1963,103.7
31/10/1963,104
01/11/1963,103.2
02/11/1963,104
03/11/1963,104
04/11/1963,103.2
05/11/1963,108
06/11/1963,52
07/11/1963,103
08/11/1963,55.4
09/11/1963,152.1
10/11/1963,49.5
11/11/1963,82.1
12/11/1963,63.4
13/11/1963,49.8
14/11/1963,91.6
15/11/1963,82.1
16/11/1963,186.2
17/11/1963,290.7
18/11/1963,290.4
19/11/1963,293.4
20/11/1963,240.6
21/11/1963,223.9
22/11/1963,171.2
23/11/1963,172.6
24/11/1963,226.9
25/11/1963,204.6
26/11/1963,208.9
27/11/1963,211.7
28/11/1963,159.4
29/11/1963,212.6
30/11/1963,157.5
01/12/1963,172.5
02/12/1963,138.4
03/12/1963,148
04/12/1963,148
05/12/1963,150.8
06/12/1963,148.1
07/12/1963,147.9
08/12/1963,166.3
09/12/1963,159.5
10/12/1963,158.8
11/12/1963,102.1
12/12/1963,239.1
13/12/1963,240.1
14/12/1963,167.6
15/12/1963,220.2
16/12/1963,162.3
17/12/1963,219.6
18/12/1963,160
19/12/1963,222.3
20/12/1963,163.2
21/12/1963,222.5
22/12/1963,221.8
23/12/1963,222.5
24/12/1963,398.5
25/12/1963,997.2
26/12/1963,586.2
27/12/1963,476.1
28/12/1963,490.8
29/12/1963,467.4
30/12/1963,480.6
31/12/1963,469.4
01/01/1964,438.3
02/01/1964,507.8
03/01/1964,443.4
04/01/1964,448.3
05/01/1964,375.3
06/01/1964,433.2
07/01/1964,438.6
08/01/1964,440.5
09/01/1964,504.1
10/01/1964,441.6
11/01/1964,381.1
12/01/1964,456.4
